"log_prob","rule"
-9.06624490959,"IP  _UNK _come PP"
-2.00399568641,"IP  _past LEX"
-14.5922095593,"IP  LEX _sing"
-10.9067212653,"IP  _would _UNK VP"
-7.93510821248,"IP  _present _UNK _UNK VP"
-8.37509072652,"IP  _would _UNK _non-finite VP"
-14.3634727476,"LEX  _under"
-8.18483396872,"LEX  _study"
-13.2653209701,"LEX  _cry"
-5.89811268799,"LEX  _sit"
-9.271079261,"LEX  _'ll"
-14.3634727476,"LEX  _shut"
-6.8199931177,"LEX  _catch"
-8.60594878075,"LEX  _bear"
-12.4181547233,"LEX  _in"
-6.00876939929,"LEX  _show"
-8.59652959973,"LEX  _brush"
-9.3344079564,"LEX  _light"
-7.68776971457,"LEX  _run"
-5.36721258262,"LEX  _give"
-4.11053437976,"LEX  _eat"
-14.3634727476,"LEX  _plan"
-13.6706709305,"LEX  _must"
-8.20575660514,"LEX  _fit"
-14.3634727476,"LEX  _swing"
-13.2653209701,"LEX  _finish"
-9.28344196199,"LEX  _choose"
-6.66864164975,"LEX  _miss"
-14.3634727476,"LEX  _part"
-8.65111754752,"LEX  _plug"
-7.50000425229,"LEX  _smell"
-9.29593331791,"LEX  _pretend"
-14.3634727476,"LEX  _read"
-9.32142087751,"LEX  _as"
-14.3634727476,"LEX  _point"
-14.3634727476,"LEX  _wash"
-6.74660314024,"LEX  _push"
-6.46495831255,"LEX  _can"
-14.3634727476,"LEX  _cost"
-13.6706709305,"LEX  _picture"
-6.41259087912,"LEX  _talk"
-14.3634727476,"LEX  _whine"
-14.3634727476,"LEX  _learn"
-14.3634727476,"LEX  _leave"
-14.3634727476,"LEX  _behave"
-8.60910832723,"LEX  _notice"
-14.3634727476,"LEX  _hurt"
-14.3634727476,"LEX  _magic"
-9.31499004438,"LEX  _discipline"
-9.28344196199,"LEX  _collect"
-14.3634727476,"LEX  _into"
-14.3634727476,"LEX  _without"
-8.16635933405,"LEX  _would"
-13.2653209701,"LEX  _open"
-6.81946407162,"LEX  _drink"
-9.29593331791,"LEX  _sound"
-7.24440607289,"LEX  _start"
-9.36762395331,"LEX  _lie"
-9.39503201322,"LEX  _bang"
-13.6706709305,"LEX  _goING"
-9.46700479605,"LEX  _lock"
-9.30225113084,"LEX  _scream"
